Sample,Value
0,0.000845032
3.91E-05,0.001215472
7.81E-05,0.000598467
0.000117188,-0.001860663
0.00015625,-0.001567274
0.000195313,-0.001872517
0.000234375,-0.001929417
0.000273438,-0.001892669
0.0003125,-0.001894447
0.000351563,-0.002289188
0.000390625,-0.003005175
0.000429688,-0.003196026
0.00046875,-0.002987394
0.000507813,-0.001807912
0.000546875,-0.0013296
0.000585938,-0.00122884
0.000625,-0.000454176
0.000664063,-0.00056027
0.000703125,-0.000967458
0.000742188,-0.001073552
0.00078125,-0.001538232
0.000820313,-0.001665663
0.000859375,-0.001679296
0.000898437,-0.000414465
0.0009375,0.000801171
0.000976563,0.000495336
0.001015625,0.00080532
0.001054688,0.000740716
0.00109375,0.000870518
0.001132813,0.000527342
0.001171875,0.000175276
0.001210938,0.000217951
0.00125,0.000479333
0.001289063,0.000233954
0.001328125,0.001312082
0.001367188,0.003550726
0.00140625,0.003365802
0.001445313,0.003360468
0.001484375,0.002958022
0.001523438,0.002596472
0.0015625,0.002390804
0.001601563,0.00293787
0.001640625,0.003160134
0.001679688,0.003659191
0.00171875,0.004087716
0.001757813,0.003464191
0.001796875,0.002856077
0.001835938,0.003212292
0.001875,0.003631927
0.001914063,0.003407884
0.001953125,0.003092566
0.001992188,0.002744056
0.00203125,0.00213357
0.002070313,0.001640441
0.002109375,0.001865668
0.002148438,0.002134163
0.0021875,0.002386062
0.002226563,0.002696047
0.002265625,0.001888784
0.002304688,0.001856778
0.00234375,0.001439514
0.002382813,0.001516565
0.002421875,0.00169082
0.002460938,0.001593024
0.0025,0.001550942
0.002539063,0.001541459
0.002578125,0.002011473
0.002617188,0.002299528
0.00265625,0.002170911
0.002695313,0.000370868
0.002734375,0.000146826
0.002773438,-0.000411501
0.0028125,-0.000601759
0.002851563,-0.000508112
0.002890625,-0.000332079
0.002929688,-0.000123447
0.00296875,-0.000375939
0.003007813,-0.000221836
0.003046875,-0.000306
0.003085938,-0.000186866
0.003125,0.002637369
0.003164063,0.002325607
0.003203125,0.002265743
0.003242188,0.002890454
0.00328125,0.003057596
0.003320313,0.002675302
0.003359375,0.002581062
0.003398438,0.002301898
0.0034375,0.002293008
0.003476563,0.002602992
0.003515625,0.002584026
0.003554688,0.001767279
0.00359375,0.000898375
0.003632813,0.001117675
0.003671875,0.00078339
0.003710938,0.000919712
0.00375,0.000872296
0.003789063,0.001451961
0.003828125,0.001447812
0.003867188,0.001627994
0.00390625,0.001118268
0.003945313,0.001630957
0.003984375,-0.000287626
0.004023438,-0.002100708
0.0040625,-0.001708338
0.004101563,-0.001449326
0.004140625,-0.001115634
0.004179688,-0.001432731
0.00421875,-0.001223506
0.004257813,-0.00095264
0.004296875,-0.001170755
0.004335938,-0.00116305
0.004375,-0.000965087
0.004414063,0.000399318
0.004453125,-0.000115742
0.004492188,-0.000474328
0.00453125,-0.000267474
0.004570313,-0.00042869
0.004609375,-0.000394313
0.004648438,3.48E-05
0.0046875,0.000356051
0.004726563,0.0003845
0.004765625,0.000687372
0.004804688,0.001029363
0.00484375,0.003265043
0.004882813,0.003265635
0.004921875,0.00279325
0.004960938,0.003335574
0.005,0.003380027
0.005039063,0.003327869
0.005078125,0.003374693
0.005117188,0.003269784
0.00515625,0.003116867
0.005195313,0.003409662
0.005234375,0.003501532
0.005273438,0.003350985
0.0053125,0.002730423
0.005351563,0.002827034
0.005390625,0.002827627
0.005429688,0.002462521
0.00546875,0.002370652
0.005507813,0.002355242
0.005546875,0.002655743
0.005585938,0.00310442
0.005625,0.002965134
0.005664063,0.002696047
0.005703125,0.002563281
0.005742188,0.002142461
0.00578125,0.00200199
0.005820313,0.002526533
0.005859375,0.002432293
0.005898438,0.002055333
0.0059375,0.002004361
0.005976563,0.002238479
0.006015625,0.002147203
0.006054688,0.002215956
0.00609375,0.001849665
0.006132813,0.00216202
0.006171875,0.001705638
0.006210938,0.000370275
